timestamp,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb,mem_free_mb,power_draw_w,power_limit_w,temp_c
2026/05/22 21:09:59.712,0.0,0.0,22935.0,46068.0,22535.0,9.39,285.0,34.0
2026/05/22 21:10:01.728,0.0,0.0,22935.0,46068.0,22535.0,9.41,285.0,34.0
2026/05/22 21:10:03.747,0.0,0.0,22935.0,46068.0,22535.0,23.46,285.0,38.0
2026/05/22 21:10:05.765,72.0,54.0,22935.0,46068.0,22535.0,218.54,285.0,43.0
2026/05/22 21:10:07.783,65.0,40.0,22935.0,46068.0,22535.0,234.71,285.0,43.0
2026/05/22 21:10:09.800,74.0,62.0,22935.0,46068.0,22535.0,214.09,285.0,43.0
2026/05/22 21:10:11.816,80.0,61.0,22935.0,46068.0,22535.0,184.46,285.0,41.0
2026/05/22 21:10:13.834,78.0,69.0,22937.0,46068.0,22533.0,203.09,285.0,45.0
2026/05/22 21:10:15.853,68.0,55.0,22937.0,46068.0,22533.0,232.73,285.0,46.0
2026/05/22 21:10:17.872,74.0,70.0,22937.0,46068.0,22533.0,223.01,285.0,47.0
2026/05/22 21:10:19.889,68.0,53.0,22937.0,46068.0,22533.0,211.48,285.0,46.0
2026/05/22 21:10:21.904,76.0,62.0,22937.0,46068.0,22533.0,206.63,285.0,49.0
2026/05/22 21:10:23.922,57.0,37.0,22937.0,46068.0,22533.0,228.37,285.0,50.0
2026/05/22 21:10:25.939,72.0,62.0,22937.0,46068.0,22533.0,232.23,285.0,51.0
2026/05/22 21:10:27.956,82.0,62.0,22937.0,46068.0,22533.0,192.96,285.0,49.0
2026/05/22 21:10:29.974,68.0,53.0,22937.0,46068.0,22533.0,133.86,285.0,50.0
2026/05/22 21:10:31.994,79.0,52.0,22937.0,46068.0,22533.0,234.11,285.0,52.0
2026/05/22 21:10:34.012,62.0,26.0,22937.0,46068.0,22533.0,235.22,285.0,53.0
2026/05/22 21:10:36.029,75.0,63.0,22937.0,46068.0,22533.0,217.24,285.0,55.0
2026/05/22 21:10:38.049,66.0,52.0,22937.0,46068.0,22533.0,208.32,285.0,53.0
2026/05/22 21:10:40.067,81.0,64.0,22937.0,46068.0,22533.0,210.36,285.0,53.0
2026/05/22 21:10:42.085,81.0,62.0,22937.0,46068.0,22533.0,186.33,285.0,52.0
2026/05/22 21:10:44.104,76.0,47.0,22937.0,46068.0,22533.0,232.36,285.0,58.0
2026/05/22 21:10:46.122,77.0,65.0,22937.0,46068.0,22533.0,215.09,285.0,58.0
2026/05/22 21:10:48.140,72.0,63.0,22937.0,46068.0,22533.0,231.46,285.0,56.0
2026/05/22 21:10:50.157,77.0,65.0,22937.0,46068.0,22533.0,220.52,285.0,55.0
2026/05/22 21:10:52.176,75.0,63.0,22937.0,46068.0,22533.0,229.35,285.0,58.0
2026/05/22 21:10:54.194,74.0,64.0,22937.0,46068.0,22533.0,223.69,285.0,57.0
2026/05/22 21:10:56.212,72.0,60.0,22937.0,46068.0,22533.0,225.95,285.0,59.0
2026/05/22 21:10:58.229,74.0,61.0,22937.0,46068.0,22533.0,237.84,285.0,59.0
2026/05/22 21:11:00.247,74.0,46.0,22937.0,46068.0,22533.0,226.17,285.0,59.0
2026/05/22 21:11:02.265,74.0,62.0,22937.0,46068.0,22533.0,231.54,285.0,59.0
2026/05/22 21:11:04.283,87.0,43.0,22937.0,46068.0,22533.0,228.65,285.0,59.0
2026/05/22 21:11:06.301,73.0,47.0,22937.0,46068.0,22533.0,236.79,285.0,60.0
2026/05/22 21:11:08.318,82.0,64.0,22937.0,46068.0,22533.0,210.13,285.0,60.0
2026/05/22 21:11:10.335,83.0,64.0,22937.0,46068.0,22533.0,213.93,285.0,60.0
2026/05/22 21:11:12.352,83.0,65.0,22937.0,46068.0,22533.0,214.29,285.0,60.0
2026/05/22 21:11:14.369,0.0,0.0,22937.0,46068.0,22533.0,103.43,285.0,57.0
2026/05/22 21:11:16.386,0.0,0.0,22937.0,46068.0,22533.0,70.9,285.0,56.0
2026/05/22 21:11:18.403,62.0,52.0,22937.0,46068.0,22533.0,227.95,285.0,62.0
2026/05/22 21:11:20.422,55.0,32.0,22937.0,46068.0,22533.0,236.07,285.0,61.0
2026/05/22 21:11:22.441,74.0,62.0,22937.0,46068.0,22533.0,235.39,285.0,61.0
2026/05/22 21:11:24.459,82.0,61.0,22937.0,46068.0,22533.0,202.86,285.0,60.0
2026/05/22 21:11:26.477,79.0,70.0,22937.0,46068.0,22533.0,179.26,285.0,61.0
2026/05/22 21:11:28.496,59.0,43.0,22937.0,46068.0,22533.0,225.71,285.0,61.0
2026/05/22 21:11:30.512,60.0,37.0,22937.0,46068.0,22533.0,228.8,285.0,63.0
2026/05/22 21:11:32.529,70.0,59.0,22937.0,46068.0,22533.0,230.62,285.0,62.0
2026/05/22 21:11:34.548,59.0,42.0,22937.0,46068.0,22533.0,207.22,285.0,63.0
2026/05/22 21:11:36.565,73.0,62.0,22937.0,46068.0,22533.0,237.88,285.0,63.0
2026/05/22 21:11:38.584,72.0,63.0,22937.0,46068.0,22533.0,238.87,285.0,65.0
2026/05/22 21:11:40.600,81.0,62.0,22937.0,46068.0,22533.0,202.52,285.0,63.0
2026/05/22 21:11:42.617,76.0,60.0,22937.0,46068.0,22533.0,167.49,285.0,63.0
2026/05/22 21:11:44.635,87.0,39.0,22937.0,46068.0,22533.0,243.57,285.0,64.0
2026/05/22 21:11:46.652,42.0,22.0,22937.0,46068.0,22533.0,236.62,285.0,65.0
